match,implied_home,implied_draw,implied_away,total_prob
Brighton vs Arsenal,0.930715883447513,0.06805653520449398,0.0012275813479931236,1.0
Crystal Palace vs Man City,1.0,1.9212618109363384e-19,1.782859070546046e-21,1.0
Everton vs Burnley,0.7352942870711604,0.1512226070197631,0.11348310590907658,1.0
Fulham vs Newcastle,0.04770811499677847,0.9350165651718882,0.017275319831333343,1.0
Luton vs Bournemouth,0.04770811499677847,0.9350165651718882,0.017275319831333343,1.0
Wolves vs West Ham,0.04770811499677847,0.9350165651718882,0.017275319831333343,1.0
Man United vs Liverpool,0.930715883447513,0.06805653520449398,0.0012275813479931236,1.0
Sheffield United vs Chelsea,0.930715883447513,0.06805653520449398,0.0012275813479931236,1.0
Tottenham vs Nott'm Forest,0.04770811499677847,0.9350165651718882,0.017275319831333343,1.0
Bournemouth vs Man United,0.04770811499677847,0.9350165651718882,0.017275319831333343,1.0
